[INFO] 2025-10-16 18:42:31,629 activity 2025-10-16T15:42:31.629888+00:00 method=GET path='/en/control/dashboard/' status=200 ms=53 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:42:36,652 activity 2025-10-16T15:42:36.652281+00:00 method=GET path='/en/control/categories/' status=200 ms=25 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:42:40,728 activity 2025-10-16T15:42:40.728247+00:00 method=GET path='/en/' status=200 ms=64 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:42:49,930 activity 2025-10-16T15:42:49.930068+00:00 method=POST path='/i18n/setlang/' status=302 ms=31 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:42:50,261 activity 2025-10-16T15:42:50.260938+00:00 method=GET path='/sw/' status=200 ms=63 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:48:07,491 activity 2025-10-16T15:48:07.491344+00:00 method=GET path='/sw/' status=200 ms=46 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:50:05,985 activity 2025-10-16T15:50:05.985353+00:00 method=GET path='/sw/' status=200 ms=44 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:50:28,170 activity 2025-10-16T15:50:28.170142+00:00 method=GET path='/sw/' status=200 ms=32 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 19:08:06,182 activity 2025-10-16T16:08:06.182658+00:00 method=GET path='/sw/control/dashboard/' status=200 ms=80 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 19:11:10,780 activity 2025-10-16T16:11:10.780554+00:00 method=GET path='/sw/control/dashboard/' status=200 ms=100 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
